Pasal,Isi
Pasal 507,Yang termasuk barang tak bergerak karena tujuan adalah:
Pasal 508,Yang juga merupakan barang tak bergerak adalah hak-hak sebagai berikut;
Pasal 509,Barang bergerak karena sifatnya adalah barang yang dapat berpindah sendiri atau dipindahkan.
Pasal 510,"Kapal, perahu, sampan tambang, kincir dan tempat penimbunan kayu yang dipasang di perahu atau yang terlepas dan barang semacam itu adalah barang bergerak."
Pasal 511,Yang dianggap sebagai barang bergerak karena ditentukan undang-undang adalah:
Pasal 512,"Bila dalam undang-undang atau dalam suatu perbuatan perdata digunakan istilah 'barang bergerak', 'perkakas rumah', 'mebel', atau 'perabotan rumah tangga', 'perhiasan rumah' atau 'rumah dengan segala sesuatu yang ada di dalamnya', semuanya tanpa kata-kata tambahan, perluasan atau pembatasan, maka istilah-istilah itu harus dianggap meliputi barang-barang yang ditunjuk dalam pasal-pasal berikut."
Pasal 513,"Istilah 'barang bergerak', tanpa ada pengecualian, meliputi segala sesuatu yang menurut ketentuan-ketentuan di atas, dianggap bersifat bergerak."
Pasal 514,"Istilah 'perkakas rumah' meliputi segala sesuatu yang menurut ketentuan-ketentuan di atas dianggap bersifat bergerak, kecuali uang tunai, sero, piutang dan hak-hak lain tersebut dalam Pasal 511, barang perdagangan dan bahan pokok, alat-alat yang bersangkutan dengan pabrik, barang hasil pabrik atau hasil pertanian, bahan bangunan atau bahan yang berasal dan pembongkaran bangunan, begitu pula kapal dan sahamnya."
Pasal 515,"Istilah 'mebel' atau 'perabotan rumah tangga' meliputi segala sesuatu yang menurut pasal yang lalu termasuk dalam istilah 'perkakas rumah', kecuali kuda dan ternak lain, kereta dan perlengkapannya, batu permata, buku dan tulisan, gambar, pigura, lukisan, patung, pening peringatan, perkakas ilmu alam dan ilmu pengetahuan, barang berharga dan barang peli lainnya, pakaian pribadi, senjata, gandum, anggur, dan barang keperluan hidup lainnya."
Pasal 516,"lstilah 'rumah dan segala sesuatu yang ada di dalamnya' meliputi semua yang menurut Pasal 513 bersifat bergerak dan ditemukan di dalam rumah itu, kecuali uang tunai, piutang dan hak- hak lain yang surat-suratnya diketemukan dalam rumah itu."
Pasal 517,"Istilah 'perhiasan rumah' meliputi segala mebel yang dipakai dan dipergunakan untuk perhiasan ruangan, seperti tirai dan permadani, tempat tidur, kursi, cermin, lonceng, meja, porselen, dan barang lain semacam itu."
Pasal 518,Istilah 'rumah yang bermebel' atau ‘rumah beserta mebelnya' hanya meliputi perhiasan rumah.
Pasal 519,"Ada barang yang bukan milik siapa pun; barang lainnya adalah milik negara, milik persekutuan atau milik perorangan."
Pasal 520,"Pekarangan dan barang tak bergerak lainnya yang tidak dipelihara dan tidak ada pemiliknya, seperli halnya barang seseorang yang meninggal dunia tanpa ahli waris atau yang pewarisannya ditinggalkan, adalah milik negara."
Pasal 521,"Demikian pula milik negaralah jalan dan lorong yang menjadi beban pemeliharaannya, pantai bengawan dan sungai yang dapat dilalui dengan perahu tambang beserta tepinya, pulau besar dan pulau kecil, beting yang muncul di atas bengawan dan sungai itu demikian juga pelabuhan dan tempat mendarat, tanpa mengurangi hak seseorang atau persekutuan yang diperoleh berdasarkan suatu tindak perdata atau besit."
Pasal 522,"Yang dimaksud dengan 'tepi' dalam pasal yang lalu ialah sisi bengawan, telaga atau sungai yang pada waktu biasa, bila air sedang pasang setinggi-tingginya, terendam di bawah air, dan bukan bagian yang terkena banjir dengan meluapnya air."
Pasal 523,"Harus dianggap pula sebagai milik negara; semua tanah dan perkayuan yang termasuk dalam bangunan benteng negara, demikian pula semua tanah yang di atasnya didirikan bangunan untuk pertahanan seperti tembok, apilan, parit, jalan tersembunyi, glacien atau tanggul, dan akhirnya tanah lapang yang di atasnya didirikan bangunan pertanahan, garis lini, pos penjagaan, kubu pertahanan/ perlindungan, benteng kecil, tanggul, pintu air, kanal dan pinggirnya; semuanya ini tidak mengurangi hak seseorang atau persekutuan berdasarkan alas hak atau besit."
Pasal 524,"Dalam benteng negara, seluruh tanah yang letaknya seperti di bawah ini, dianggap sebagai tanah militer:"
Pasal 525,"Semua benteng yang tidak ditempati, seperti kubu-kubu, pos yang menonjol, tanggul, garis dan meriam, semuanya termasuk tanah militer negara dengan tanah di sekitarnya, yang telah dibeli oleh negara sewaktu benteng itu dibuat."
Pasal 526,Barang milik suatu persekutuan adalah barang milik bersama dari suatu perkumpulan.
Pasal 527,Barang milik perorangan adalah barang milik seseorang atau beberapa orang secara perseorangan.
Pasal 528,"Atas suatu barang, orang dapat mempunyai hak besit atau hak milik atau hak waris atau hak menikmati hasil atau hak pengabdian tanah, atau hak gadai atau hak hipotek."
Pasal 529,"Yang dimaksud dengan besit adalah kedudukan menguasai atau menikmati suatu barang yang ada dalam kekuasaan seseorang secara pribadi atau dengan perantaraan orang lain, seakan-akan barang itu miliknya sendiri."
Pasal 530,Besit ada yang dalam itikad baik dan ada yang dalam itikad buruk.
Pasal 531,Besit dalam itikad baik terjadi bila pemegang besit memperoleh barang itu dengan mendapatkan hak milik tanpa mengetahui adanya cacat cela di dalamnya.
Pasal 532,"Besit dalam itikad buruk terjadi bila pemegarignya mengetahui, bahwa barang yang dipegangnya bukanlah hak miliknya. Bila pemegang besit digugat di muka Hakim dan dalam hal ini dikalahkan, maka ia dianggap beritikad buruk sejak perkara diajukan."
Pasal 533,"Pemegang besit harus selalu dianggap beritikad baik barangsiapa menuduhnya beritikad buruk, harus membuktikannya."
Pasal 534,"Pemegang besit harus selalu dianggap memegangnya untuk diri sendiri, selama tidak terbukti, bahwa ia memegangnya untuk orang lain."
Pasal 535,"Pemegang besit yang mulai memegangnya untuk orang lain, selama tidak terbukti sebaliknya, harus selalu dianggap melanjutkan besit itu berdasarkan hak yang sama."
Pasal 536,"Baik atas kehendak sendiri maupun karena lewatnya waktu, pemegang besit tidak dapat mengubah alasan dan dasarnya untuk diri sendiri."
Pasal 537,"Barang yang tidak ada dalam peredaran perdagangan, tidak dapat menjadi obyek besit. Hal ini berlaku juga terhadap hak pengabdian tanah, baik yang tidak abadi maupun yang tidak tampak, kecuali yang ditentukan dalam Pasal 553."
Pasal 538,Besit atas suatu barang diperoleh dengan menarik suatu barang ke dalam kekuasaannya dengan maksud mempertahankannya untuk diri sendiri.
Pasal 539,"Orang gila tidak dapat memperoleh besit untuk diri sendiri. Anak belum dewasa dan wanita bersuami dengan melakukan perbuatan tersebut di atas, dapat memperoleh besit atas suatu barang."
Pasal 540,"Orang dapat memperoleh suatu besit atau suatu barang, baik dengan diri sendiri, maupun dengan perantaraan orang lain yang bertindak atas namanya. Dalam hal yang terakhir ini, orang malah dapat memperoleh besit, sebelum mengetahui besit atas barang tersebut diperolehnya."
Pasal 541,"Besit orang yang meninggal atas segala sesuatu yang dikuasainya semasa hidupnya, sejak saat meninggalnya beralih kepada ahli warisnya dengan segala sifat dan cacat celanya."
Pasal 542,Orang dianggap telah memegang besit atas segala suatu barang selama barang itu tidak beralih kepada pihak lain atau belum ditinggalkan secara nyata.
Pasal 543,"Orang kehilangan besit, atas kehendak sendiri, bila barang itu diserahkan kepada orang lain."
Pasal 544,"Orang kehilangan besit, sekalipun tanpa kehendak untuk menyerahkannya kepada orang lain, bila barang yang dikuasainya ditinggalkannya secara nyata."
Pasal 545 ,"Orang kehilangan besit atas sebidang tanah pekarangan atau bangunan tanpa kehendak sendiri;1. bila pihak lain, tanpa memperdulikan kehendak pemegang besit, menarik besit itu kepada dirinya dan menikmatinya selama satu tahun tanpa gangguan apa pun; 2. bila sebidang pekarangan, karena suatu peristiwa yang luar biasa, tenggelam, kebanjiran. Besit tidak hilang karena suatu banjir yang bersifat sementara. Besit atas barang bergerak berakhir bagi pemegangnya dengan cara seperti yang diatur dalam alinea pertama pasal ini."
Pasal 546,Besit atas suatu barang bergerak berakhir tanpa dikehendaki pemegangnya:
Pasal 547,"Besit atas barang tak bertubuh berakhir bagi pemegangnya, bila orang lain selama satu tahun menikmatinya tanpa gangguan apa pun."
Pasal 548,Besit dengan itikad baik memberi hak atas suatu barang kepada pemegangnya:
Pasal 549,Besit dengan itikad buruk memberi hak kepada pemegangnya atas suatu barang:
Pasal 550,"Tuntutan untuk mempertahankan besit boleh diajukan di muka Hakim, bila seseorang terganggu dalam memegang besitnya atas sebidang tanah atau pekarangan, sebuah rumah atau gedung, suatu hak kebendaan atau barang bergerak pada umumnya."
Pasal 551,Tuntutan seperti itu juga boleh diajukan sekalipun besit itu diperoleh dari seseorang yang tidak cakap menurut hukum untuk memindahtangankan barang tersebut.
Pasal 552,"Tuntutan tidak boleh diajukan terhadap orang yang membantah suatu hak pengabdian tanah, kecuali jika sengketa itu mengenai hak pengabdian tanah yang terus bertangsung atau yang nyata tampak."
Pasal 553,"Bila timbul suatu perselisihan tentang berlaku tidaknya dasar hukum suatu hak pengabdian tanah yang tidak terus berlangsung atau yang tidak tampak, maka Hakim boleh memerintahkan kepada pihak yang pada waktu terjadinya sengketa menikmatinya, supaya selama sengketa berlangsung, terus menikmatinya."
Pasal 554,Tuntutan supaya tetap dipertahankan memegang besit tidak bisa diajukan terhadap barang- barang yang menurut undang-undang si pemegang besit tidak dapat memegang besit atasnya.
Pasal 555,"Barang bergerak yang bertubuh tidak dapat dijadikan obyek suatu tuntutan di muka Hakim, untuk mempertahankan besit atas barang itu, tanpa mengurangi ketentuan penutup Pasal 550."
Pasal 556,"Penyewa, pemegang hak usaha dan mereka yang menguasai suatu barang untuk orang lain, tidak dapat mengajukan gugatan supaya dipertahankan dalam memegang besit."
Pasal 557,"Tuntutan untuk mempertahankan besit dapat diajukan terhadap orang-orang yang mengganggu pemegang besit dalam memegang besit itu, bahkan terhadap pemilik barang itu, tetapi tanpa mengurangi hak pemilik itu untuk mengajukan tuntutan berdasarkan hak miliknya. Bila besit itu diperoleh dari pinjam pakai, dengan pencurian atau kekerasan, maka pemegang besit tidak bisa mengajukan tuntutan untuk dipertahankan dalam besitnya terhadap orang dari siapa besit itu diperolehnya atau dari orang dari siapa besit itu diambil."
Pasal 558,"Tuntutan utuk mempertahankan besit harus diajukan dalam jangka waktu satu tahun, terhitung mulai hari pemegang besit diganggu dalam memegang besit."
Pasal 559,"Tuntutan ini bertujuan supaya gangguan dihentikan dan pemegang besit dipertahankan dalam kedudukannya dengan penggantian biaya, kerugian dan bunga."
Pasal 560,"Besit harus dianggap selalu ada pada orang yang tidak pernah kehilangan haknya atas besit, yang kemudian oleh Hakim dipertahankan kedudukannya tanpa mengurangi apa yang lebih lanjut diatur tentang buah hasilnya."
Pasal 561,"Bila dalam suatu perkara kedua pihak saling menuntut supaya dipertahankan kedudukannya dalam memegang besit, dan Hakim berpendapat bahwa kedudukan itu tidak terbukti sebagaimana patutnya, maka tanpa memberi keputusan tentang hak besit, Hakim berkuasa memerintahkan agar kedua belah pihak beperkara tentang pemilikan barang, atau salah satu pihak diakui sementara sebagai pemegangnya. Pemegang besit ini hanya diberikan hak menikmati barang itu selama perkara tentang hak milik berjalan, dengan kewajiban memberi perhitungan atas hasil-hasil yang telah dinikmatinya."
Pasal 562,"Bila pemegang besit atas pekarangan atau bangunan kehilangan besitnya tanpa kekerasan, maka ia dapat mengajukan tuntutan terhadap pemegangnya supaya dipulihkan atau dipertahankan besitnya."
Pasal 563,"Dalam hal terjadi suatu perampasan dengan kekerasan. gugatan untuk memulihkan besit harus diajukan, baik terhadap mereka yang melakukan kekerasan, maupun terhadap mereka yang memerintahkannya. Masing-masing mereka bertanggung jawab tanggung menanggung atas seluruhnya. Agar gugatan dapat diterima, penggugat hanya diwajibkan membuktikan perbuatan merampas dengan kekerasan."
Pasal 564,Gugatan yang sama dapat diajukan terhadap semua orang yang dengan itikad buruk melepaskan besit.
Pasal 565,"Gugatan supaya besit dipulihkan dan dipertahankan, yang dibicarakan dalam Pasal 562, harus diajukan dalam tenggang waktu satu tahun, terhitung dari hari penggugat mulai kehilangan seluruh kedudukannya; dan dalam hal perampasan dengan kekerasan, gugatan supaya dipulihkan besit itu harus diajukan dalam tenggang waktu yang sama, terhitung mulai hari berakhirnya kekerasan. Gugatan ini tidak dapat diterima, bila telah diajukan gugatan tentang hak milik."
Pasal 566,Gugatan untuk penyerahan kembali dan pemulihan besit selalu bermaksud supaya pemegang besit yang semula dipertahankan atau dipulihkan dalam kedudukannya dan agar ia dianggap seakan-akan tidak pernah kehilangan kedudukannya.
Pasal 567,"Dalam hubungan dengan gugatan-gugatan ini, bagi pemegang besit, baik yang beritikad baik maupun beritikad buruk, tenggang hak menikmati hasil dan tentang biaya yang dikeluarkan selama memegang besit, berlaku ketentuan-ketentuan yang diatur dalam Bab III tentang hal yang sama untuk penuntutan kembali hak milik."
Pasal 568,"Juga setelah lewat waktu satu tahun yang ditentukan dalam undang-undang untuk mengajukan gugatan akan pemulihan besit, seseorang yang besitnya dirampas dengan kekerasan, berhak menuntut dengan gugatan biasa, agar yang melakukan kekerasan dihukum untuk menyerahkan kembali apa yang dirampas dan mengganti segala Biaya, kerugian dan bunga, akibat dari perbuatan itu."
Pasal 569,Dicabut dengan S. 1873 - 229.
Pasal 570,"Hak milik adalah hak untuk menikmati suatu barang secara lebih leluasa dan untuk berbuat terhadap barang itu secara bebas sepenuhnya, asalkan tidak bertentangan dengan undang-undang atau peraturan umum yang ditetapkan oleh kuasa yang berwenang dan asal tidak mengganggu hak-hak orang lain; kesemuanya itu tidak mengurangi kemungkinan pencabutan hak demi kepentingan umum dan penggantian kerugian yang pantas, berdasarkan ketentuan- ketentuan perundang-undangan."
Pasal 571,"Hak milik atas sebidang tanah meliputi hak milik atas segala sesuatu yang ada di atasnya dan di dalam tanah itu. Di atas sebidang tanah, pemilik boleh mengusahakan segala tanaman dan mendirikan bangunan yang dikehendakinya, hal ini tidak mengurangi pengecualian- pengecualian tersebut dalam Bab IV dan VI buku ini. Di bawah tanah itu ia boleh membangun dan menggali sesuka hatinya dan mengambil semua hasil yang diperoleh dari galian itu; hal ini tidak mengurangi perubahan-perubahan dalam perundang-undangan dan peraturan pemerintah tentang pertambangan, pengambilan bara, dan barang-barang semacam itu."
Pasal 572,"Setiap hak milik harus dianggap bebas. Barangsiapa menyatakan mempunyai hak atas barang orang lain, harus membuktikan hak itu."
Pasal 573,"Pembagian suatu barang yang dimiliki lebih dari seorang, harus dilakukan menurut ketentuan- ketentuan yang ditetapkan tentang pemisahan dan pembagian harta peninggalan."
Pasal 574,"Pemilik barang berhak menuntut siapa pun juga yang menguasai barang itu, supaya mengembalikannya dalam keadaan sebagaimana adanya."
Pasal 575,"Pemegang besit dengan itikad baik berhak menguasai segala hasil yang telah dinikmatinya dari barang yang dituntut kembali, sampai pada hari ía digugat di muka Hakim. Ia wajib mengembalikan kepada pemilik barang itu segala hasil yang dinikmatinya sejak ía digugat, setelah dikurangi segala biaya untuk memperolehnya, yaitu untuk penanaman, pembenihan dan pengolahan tanah. Selanjutnya ia berhak menuntut kembali segala biaya yang telah harus dikeluarkan guna menyelamatkan dan demi kepentingan barang tersebut, demikian pula ía berhak menguasai barang yang diminta kembali itu selama ia belum mendapat penggantian biaya dan pengeluaran tersebut dalam pasal ini."
Pasal 576,"Dengan hak dan cara yang sama, pemegang besit dengan itikad baik, dalam menyerahkan kembali barang yang diminta, boleh menuntut kembali segala biaya untuk memperoleh hasil seperti diterangkan di atas, sekedar hasil itu belum terpisah dari tanah pada saat penyerahan kembali barang yang bersangkutan."
Pasal 577,Sebaliknya ia tidak berhak menggugat kembali biaya yang dikeluarkan untuk memperoleh hasil yang dinikmati karena kedudukannya sebagai pemegang besit.
Pasal 578,"Demikian pula ia tidak berhak, dalam menyerahkan kembali barang itu, untuk memperhitungkan segala biaya dan pengeluaran yang telah dikeluarkan olehnya guna memelihara barang itu, yang dalam hal ini tidak termasuk biaya guna menyelamatkan dan memperbaiki keadaan barang itu sebagaimana disebut dalam Pasal 575. Bila timbul perselisihan tentang apa yang harus dianggap sebagai biaya pemeliharaan, haruslah diikuti peraturan tentang hak pakai hasil perihal itu."
Pasal 579,Pemegang besit beritikad buruk berkewajiban:
Pasal 580,"Barangsiapa memperoleh besit dengan kekerasan, tidak boleh minta kembali biaya yang telah dikeluarkan, sekalipun pengeluaran itu mutlak perlu untuk menyelamatkan barang itu."
Pasal 581,"Pengeluaran untuk memanfaatkan dan untuk memperindah barang, menjadi tanggungan pemegang besit dengan itilkad baik atau buruk tetapi ia berhak mengambil benda yang dilekatkan pada barang itu dalam memanfaatkan dan membuat indah, asal pengambilan itu tidak merusak barang tersebut."
Pasal 582,"Barangsiapa menuntut kembali barang yang telah dicuri atau telah hilang, tidak diwajibkan memberi penggantian uang yang telah dikeluarkan untuk pembelian kepada yang memegangnya, kecuali jika barang itu dibelinya dipekan tahunan atau pekan lain, di pelelangan umum atau dari seorang pedagang yang terkenal sebagai orang yang biasanya memperdagangkan barang sejenis itu."
Pasal 583,Barang yang telah dibuang ke dalam laut dan timbul kembali dari laut dapat diminta kembali oleh pemiliknya dengan memperhatikan peraturan perundang-undangan mengenai hal itu.
Pasal 584,"Hak milik atas suatu barang tidak dapat diperoleh selain dengan pengambilan untuk dimiliki, dengan perlekatan, dengan lewat waktu, dengan pewarisan, baik menurut undang-undang maupun menurut surat wasiat, dan dengan penunjukan atau penyerahan berdasarkan suatu peristiwa perdata untuk pemindahan hak milik, yang dilakukan oleh orang yang berhak untuk berbuat terhadap barang itu."
Pasal 585,"Barang bergerak yang bukan milik siapa pun, menjadi hak milik orang yang pertama-tama mengambil barang itu untuk dimilikinya."
Pasal 586,Hak untuk mengambil binatang liar atau ikan semata-mata ada pada pemilik tanah tempat binatang itu atau air tempat ikan tersebut.
Pasal 587,"Hak milik atas harta karun ada pada orang yang menemukannya di tanah miliknya sendiri. Bila harta itu ditemukan di tanah milik orang lain, maka separuhnya adalah milik yang menemukan dan separuh lainnya adalah milik si pemilik tanah. Yang dimaksud dengan harta karun adalah segala barang tersembunyi atau terpendam, yang tidak seorang pun dapat membuktikan hak milik terhadapnya dan yang didapat karena kebetulan semata-mata."
Pasal 588,"Segala apa yang melekat pada sesuatu barang, atau yang merupakan sebuah tubuh dengan barang itu, adalah milik orang yang menurut ketentuan-ketentuan tercantum dalam pasal-pasal berikut, dianggap sebagai pemiliknya."
Pasal 589,"Pulau besar dan pulau kecil, yang terdapat di sungai yang tidak dapat dilayari atau diseberangi dengan rakit, begitu pula beting yang timbul dari endapan lumpur di sungai seperti itu, menjadi miik si pemilik tanah di tepi sungai tempat tanah timbul itu terjadi. Bila tidak berada pada salah satu dari kedua belah sungai, maka pulau itu menjadi milik semua pemilik tanah di kedua tepi sungai dengan garis yang menurut perkiraan ada di tengah-tengah sungai sebagai batas."
Pasal 590,"Bila sebuah bengawan atau sungai dengan mengambil jalan aliran baru memotong tanah di tepinya sehingga terjadi sebuah pulau, maka hak milik atas pulau itu tetap pada pemilik tanah semula, sekalipun pulau itu terjadi dalam sebuah bengawan atau sungai yang dapat dilayari atau diseberangi dengan rakit."
Pasal 591,Hak milik atas bengawan atau sungai mencakup juga hak milik atas tanah bengawan atau sungai itu mengalir.
Pasal 592,"Bila sebuah bengawan atau sungai mengambil jalan aliran baru dengan meninggalkan jalan yang lama, maka para pemilik tanah yang kehilangan tanah menjadi pemegang besit atas tanah aliran yang ditinggalkan sebagai ganti ruginya, masing-masing seluas tanah yang hilang."
Pasal 593,"Sebuah bengawan atau sungai yang banjir sementara, tidak menimbulkan diperolehnya atau hilangnya hak milik."
Pasal 594,"Hak milik atas tanah yang tenggelam karena kebanjiran. tetap berada pada pemiliknya. Meskipun demikian, bila oleh pemerintah dipandang perlu untuk kepentingan umum atau keamanan tanah milik di sekitarnya, dan oleh ahli-ahli yang bersangkutari. maka semua pemilik yang bersangkutan harus diberi peringatan untuk mengerjakannya atau ikut serta mengerjakannya dengan ketentuan, bahwa bila mereka menolaknya atau tidak lagi berkediaman di tempat itu, maka untuk kepentingan negara, hak milik dapat dicabut dengan membayar ganti rugi seharga tanah yang menurut taksiran tenggelam."
Pasal 595,"Pemilik sebuah bukit pasir di pantai laut adalah, demi hukum, pemilik tanah tempat bukit itu berdiri. Bila tanah di sekitar bukit pasir itu ditimbuni pasir oleh sebab angin, sehingga tanah itu menjadi satu dengan bukit itu, sampai-sampai tidak dapat dipisahkan, maka tanah tersebut menjadi milik si pemilik bukit pasir tersebut, kecuali bila dalam waktu lima tahun setelah penimbunan itu tanah tersebut dipisahkan dengan pagar atau tiang-tiang pembatas."
Pasal 596,"Pengendapan lumpur yang terjadi secara alami, lambat laun dan tidak kelihatan pada tanah yang terletak di tepi air yang mengalir, disebut pertambahan. Pertambahan menjadi keuntungan pemilik tanah di tepi bengawan atau sungai, tanpa membedakan, apakah dalam akta tanah disebutkan luas tanah itu atau tidak; tetapi hal ini tidak mengurangi ketentuan- ketentuan dalam undang-undang atau peraturan umum mengenai jalan bagi pejalan kaki atau jalan bagi pemburu."
Pasal 597,"Ketentuan dalam alinea kedua pasal yang lalu berlaku juga bagi pertambahan yang terjadi pada tanah di tepi telaga yang dapat dilayari dengan perahu. Ketentuan yang sama dalam alinea kedua pasal yang lalu berlaku juga bagi pertambahan tanah akibat damparan dari laut di pantai dan ditepi sungai yang mengalami pasang naik dan pasang surut, baik tanah tepian itu milik negara, maupun milik perorangan atau persekutuan."
Pasal 598,"Pertambahan tanah tidak dapat terjadi pada balong/kolam ikan. Tanah yang selalu terendam air di sekitar balong jika air mencapai ketinggian sampai dapat mengalir ke luar, sekalipun air itu kemudian surut kembali, adalah kepunyaan si pemilik balong. Sebaliknya, pemilik balong tidak dapat hak atas tanah di tepi balong bila tanah itu hanya digenangi air pada waktu air mencapai ketinggian yang luar biasa."
Pasal 599,"Bila sebidang tanah, karena derasnya air, sekonyong-konyong terbelah dari tanah yang satu dan terlempar ke tanah yang lain, maka kejadian itu tidak dapat dianggap sebagai pertambahan tanah, asal saja pemiliknya, dalam waktu tiga tahun setelah kejadian itu berlangsung menuntut haknya. Bila tenggang waktu itu dilewatkan oleh yang berkepentingan tanpa mengajukan tuntutan, maka tanah yang terdampar itu menjadi milik si pemilik tanah yang bersangkutan."
Pasal 600,Segala sesuatu yang ditanam atau disemaikan di atas sebidang pekarangan adalah milik si pemilik tanah itu.
Pasal 601,"Segala sesuatu yang dibangun di atas pekarangan adalah milik si pemilik tanah, asalkan bangunan itu melekat pada tanah; hal itu tidak mengurangi kemungkinan perubahan termaktub dalam Pasal 603 dan Pasal 604."
Pasal 602,"Pemilik tanah yang membangun di atas tanah sendiri dengan bahan-bahan bangunan yang bukan miliknya, wajib membayar harga bahan-bahan itu kepada pemilik bahan; ia boleh dihukum mengganti biaya. kerugian dan bunga. bila ada alasan untuk itu, tetapi pemilik bahan- bahan bangunan tidak berhak mengambil kembali bahan-bahan itu."
Pasal 603,"Bila seseorang dengan bahan-bahan bangunan sendiri, mendirikan bangunan di atas tanah milik orang lain, maka pemilik tanah boleh memiliki bangunan itu atau menuntut agar bangunan itu diambilnya. Bila pemilik tanah menuntut supaya bangunan diambil, maka pembongkaran bangunan berlangsung dengan biaya pemilik bahan, malahan pemilik bahan ini boleh dihukum membayar segala biaya, kerugian dan bunga. Bila sebaliknya, pemilik tanah hendak memiliki bangunan tersebut, maka ia harus membayar harga bangunan beserta upaya kerja tanpa memperhitungkan kenaikan harga tanah."
Pasal 604,"Bila bangunan itu didirikan oleh pemegang besit yang beritikad baik, maka pemilik tidak boleh menuntut pembongkaran bangunan itu, tetapi ia boleh memilih membayar harga bahan-bahan beserta upah kerja atau membayar sejumlah uang, seimbang dengan kenaikan harga tanah."
Pasal 605,"Tiga pasal yang lalu, berlaku juga terhadap penanaman dan penyemaian."
Pasal 606,"Barangsiapa dengan bahan milik orang lain membuat barang dalam jenis baru, menjadi pemilik barang itu, asal harga bahan dibayarnya, dan segala biaya, kerugian dan bunga digantinya bila ada alasan untuk itu."
Pasal 607,"Bila barang baru itu terbentuk bukan karena perbuatan manusia, melainkan karena pengumpulan pelbagai bahan milik beberapa orang secara kebetulan, maka barang baru itu merupakan milik bersama dari orang-orang itu menurut keseimbangan harga bahanbahan tersebut yang semula dimiliki mereka masing-masing."
Pasal 608,"Bila barang yang baru itu terbentuk dari pelbagai bahan milik beberapa orang karena perbuatan salah seorang dari pemilik-pemilik itu, maka yang tersebut terakhir ini menjadi pemilik, dengan kewajiban membayar harga bahan-bahan kepunyaan orang-orang lain, ditambah dengan penggantian biaya, kerugian dan bunga, bila ada alasan untuk itu."
Pasal 609,"Dalam hal-hal tersebut dalam kedua pasal yang lalu, bila bahan-bahan itu dapat dipisah- pisahkan dengan mudah, maka masing-masing pemilik boleh meminta kembali bahan kepunyaannya."
Pasal 610,"Hak milik atas suatu barang didapatkan seseorang karena lewat waktu, bila ia telah memegang besit atau barang itu selama waktu yang ditentukan undang-undang dan sesuai dengan persyaratan dan pembedaan seperti termaksud dalam Bab VII Buku Keempat kitab undang- undang ini."
Pasal 611,"Cara memperoleh hak milik karena pewarisan menurut perundang-undangan atau menurut surat wasiat, diatur dalam Bab XII dan Bab XIII buku ini."
Pasal 612,"Penyerahan barang-barang bergerak, kecuali yang tidak bertubuh dilakukan dengan penyerahan yang nyata oleh atau atas nama pemilik, atau dengan penyerahan kunci-kunci bangunan tempat barang-barang itu berada. Penyerahan tidak diharuskan, bila barang-barang yang harus diserahkan, dengan alasan hak lain, telah dikuasai oleh orang yang hendak menerimanya."
Pasal 613,"Penyerahan piutang-piutang atas nama dan barang-barang lain yang tidak bertubuh, dilakukan dengan jalan membuat akta otentik atau di bawah tangan yang melimpahkan hak-hak atas barang-barang itu kepada orang lain. Penyerahan ini tidak ada akibatnya bagi yang berutang"
Pasal 614,Dicabut dengan S. 1938 - 276.
Pasal 615,Dicabut dengan S. 1938 - 276.
Pasal 616,Penyerahan atau penunjukan barang tak bergerak dilakukan dengan pengumuman akta yang bersangkutan dengan cara seperti yang ditentukan dalam Pasal 620.
Pasal 617,"Semua akta penjualan, penghibahan, pembagian, pembebanan dan atau pemindahtanganan barang tak bergerak harus dibuat dalam bentuk otentik, atau ancaman kebatalan. Tiap petikan dalam bentuk biasa dari rol atau daftar kantor lelang, guna pembuktian penjualan barang yang diselenggarakan dengan perantaraan kantor tersebut menurut peraturan yang telah ada atau yang akan diadakan harus dianggap sebagai akta otentik."
Pasal 618,"Semua akta pemisahan harta kekayaan, sepanjang itu mengenai barang tak bergerak, harus diumumkan juga dengan cara sebagaimana diatur dalam Pasal 620."
Pasal 619,"Kepada yang memperoleh barang tidak boleh diberikan akta pemindahtanganan atau akta pemisahan tanpa kuasa khusus dari pihak yang memindahtangankan barang atau pihak yang ikut berhak, baik dalam akta sendiri, maupun dalam akta otentik lain yang kemudian dibuat dan yang harus diumumkan, juga pada waktu dan dengan cara seperti yang diatur dalam pengumuman akta pemindahtanganan atau pemisahan tersebut. Tanpa kuasa demikian, penyimpan hipotek harus menolak pengumuman tersebut. Semua pengumuman yang bertentangan dengan ketentuan ini adalah batal, tanpa mengurangi tanggung jawab pegawai yang telah memberikan salinan akta tersebut tanpa kuasa yang diperlukan, dan tanggung jawab penyimpan hipotek yang melakukan pengumuman tanpa kuasa."
Pasal 620,"Dengan mengindahkan ketentuan-ketentuan yang tercanturn dalam tiga pasal yang lalu, pengumuman termaksud di atas dilakukan dengan memindahkan salinan otentik yang lengkap dari akta tersebut atau surat keputusan Hakim ke kantor penyimpan hipotek di lingkungan tempat barang tak bergerak yang harus diserahkan itu berada, dan dengan mendaftarkan salinan ini dalam daftar yang telah ditentukan. Bersama dengan itu, orang yang bersangkutan harus menyampaikan juga salinan otentik yang kedua atau petikan dari akta atau keputusan"
