,Pasal,Isi
394,Pasal 394,"Bila wali hendak menjual barang-barang tak bergerak, maka surat permohonan yang diajukan oleh wali harus dilampiri sebuah daftar segala harta kekayaan anak belum dewasa dan dalam daftar itu harus disebutkan barang-barang yang hendak dijual. Pengadilan Negeri berwenang untuk mengizinkan penjualan barang-barang itu, baik barang-barang yang ditunjuk maupun barang-barang lain, yang menurut pertimbangan Pengadilan Negeri penjualan barang-barang itu tidak menimbulkan begitu banyak kerugian bagi anak belum dewasa."
395,Pasal 395,"Penjualan harus dilakukan di muka umum, di hadapan wali pengawas, oleh pegawai yang berhak dan menurut kebiasaan setempat."
396,Pasal 396,"Pengadilan Negeri boleh mengizinkan penjualan di bawah tangan suatu barang tak bergerak dalam hal-hal yang luar biasa dan bila kepentingan anak belum dewasa menghendakinya. Izin itu tidak akan diberikan, kecuali atas permintaan wali yang harus disertai alasan-alasannya dan dengan persetujuan bersama dari wali pengawas dan keluarga sedarah atau semenda. Bila keluarga sedarah atau semenda tidak semua datang menghadap atas panggilan, maka cukup persetujuan bersama dari mereka yang datang. Barang tidak bergerak itu tidak boleh dijual dengan harga yang lebih rendah dari harga yang sebelum pemberian izin telah ditaksir oleh tiga orang ahli yang diangkat oleh Pengadilan Negeri."
397,Pasal 397,"Segala bentuk acara yang ditentukan dalam Pasal 393 tidak berlaku, bila dalam suatu putusan pengadilan, atas permintaan salah seorang di antara beberapa orang pemilik barang yang belum dibagi, diperintahkan menjualnya, kecuali bahwa penjualan itu selalu harus dilakukan di muka umum."
398,Pasal 398,"Bila Hakim sehubungan dengan Pasal 393, mengizinkan penjualan surat-surat berharga milik anak belum dewasa, maka boleh ditetapkan bahwa penjualan itu hendaknya dilakukan di bawah tangan, asalkan surat-surat tersebut adalah sedemikian rupa, sehingga harga atau pemberitahuan sejenis itu, sebagaimana lazimnya dikeluarkan di Indonesia."
399,Pasal 399,"Wali tidak boleh menjual barang: tak bergerak anak belum dewasa selain dengan lelang umum. Dalam hal itu pembelian tidak akan mempunyai kekuatan, sebelum disahkan oleh Pengadilan Negeri menurut syarat-syaratnya dan ketentuan dalam alinea-alinea kedua, ketiga dan keempat pasal 396."
400,Pasal 400,"Wali tidak boleh menyewa atau mengambil sebagai hak usaha untuk diri sendiri barang-barang anak belum dewasa, kecuali Pengadilan Negeri telah mengizinkan syarat-syaratnya setelah mendengar atau memanggil dengan sah keluarga sedarah atau semenda anak belum dewasa dan wali pengawas; dalam hal demikian, wali-pengawaslah yang berhak mengadakan perjanjian dengan wali. Tanpa izin yang sama, wali tidak boleh menerima penyerahan hak atau piutang terhadap mereka yang ada di bawah perwaliannya."
401,Pasal 401,"Wali tidak boleh menerima warisan yang diperuntukkan bagi anak belum dewasa, selain dengan hak istimewa akan pendaftaran harta peninggalan. Wali tidak boleh menolak warisan tanpa izin untuk itu yang diperoleh dengan cara yang ditentukan dalam Pasal 393."
402,Pasal 402,Izin yang sama diperlukan juga untuk menerima sebuah hibah yang diperuntukkan bagi anak belum dewasa akibat hibah yang demikian adalah sama seperti akibat hibah yang diberikan kepada seorang yang telah dewasa.
403,Pasal 403,"Sebelum mengajukan gugatan di muka Hakim untuk anak belum dewasa, atau sebelum membelanya terhadap suatu gugatan, atas tanggung jawab sendiri wali boleh meminta kepada Balai Harta Peninggalan supaya dikuasakan untuk itu; balai itu, atas permintaan tersebut, harus menanyakan terlebih dahulu pendapat para keluarga sedarah atau semenda anak belum dewasa, demikian pula pendapat wali pengawas, sekiranya perwalian pengawas tidak dilakukan oleh Balai Harta Peninggalan sendiri."
404,Pasal 404,"Dalam suatu perkara yang diajukan terhadap anak belum dewasa, wali tidak leluasa menyatakan menerima putusan tanpa kuasa untuk itu dari Balai Harta Peninggalan dengan cara yang disebutkan dalam permulaan pasal yang lalu."
405,Pasal 405,"Wali diharuskan mendapat izin yang sama, bila ia hendak meminta pemisahan atau pembagian tetapi tanpa izin ia boleh menjawab tuntutan akan pemisahan atau pembagian yang diajukan terhadap anak belum dewasa."
406,Pasal 406,"Ketentuan-ketentuan yang harus diperhatikan dalam hal pemisahan dan pembagian harta yang menyangkut kepentingan anak belum dewasa, ditetapkan dalam Bab XVII Buku Kedua yang berjudul Pemisahan Harta Peninggalan."
407,Pasal 406a,"Bila anak-anak belum dewasa yang berada di bawah beberapa orang wali mempunyai harta kekayaan yang sama, Pengadilan Negeri boleh menunjuk salah seorang dari mereka atau orang lain untuk menyelenggarakan pengurusan harta kekayaan itu sampai pemisahan dan pembagian selesai, atas jaminan yang ditentukan Pengadilan Negeri."
408,Pasal 407,"Tanpa izin yang dibicarakan dalam Pasal 393, wali tidak boleh mengadakan perdamaian atas nama anak belum dewasa, pula tidak diperbolehkan menyerahkan penyelesaian suatu perkara kepada wasit."
409,Pasal 408,"Jika bapak atau ibu dan isterinya atau suaminya yang telah lebih dulu meninggal dunia, dulunya kawin dengan harta bersama secara penuh atau terbatas, maka Pengadilan Negeri, setelah mendengar atau memanggil dengan sah para keluarga sedarah atau semenda beserta wali- pengawas, boleh memberi kuasa kepadanya agar selama waktu yang ditentukan, bahkan sampai anak yang belum dewasa menjadi dewasa, terus menguasai harta kekayaan itu, pendapatan perusahaan, perdagangan, pabrik atau yang sejenis itu. Izin ini tidak dapat diberikan, kecuali jika setelah Pengadilan Negeri melihat daftar kekayaan, ternyata bahwa kepentingan anak belum dewasa adalah sangat besar dan ada jaminan yang diberikan oleh wali atau wali-pengawas."
410,Pasal 409,"Setiap wali, wajib mengadakan perhitungan penutup dan pertanggungjawaban."
411,Pasal 410,"Perhitungan dan pertanggungjawaban itu harus dilakukan atas biaya dan kepada anak belum dewasa bila ia telah menjadi dewasa, atau kepada ahli warisnya bila ia telah meninggal, atau kepada pengganti pengurus. Wali harus membayar lebih dulu biaya-biaya untuk itu. Dalam perhitungan itu, untuk semua pengeluaran yang perlu, yang pantas dan yang cukup beralasan, wali harus mendapat penggantian."
412,Pasal 411,"Semua wali, kecuali bapak, ibu dan wali-peserta, boleh memperhitungkan upah sebesar tiga persen dari segala pendapatan, dua persen dari segala pengeluaran, dan satu setengah persen dari modal yang mereka terima, kecuali jika mereka lebih suka menerima upah yang ditentukan dengan surat wasiat atau dengan akta otentik tersebut dalam Pasal 355; dalam hal yang demikian mereka tidak boleh memperhitungkan upah yang lebih besar."
413,Pasal 412,"Setiap persetujuan mengenai perwalian dan perhitungan perwalian, yang telah diadakan antara wali dan anak belum dewasa yang sementara itu menjadi dewasa, adalah batal dan tidak berharga, bila persetujuan itu tidak didahului perhitungan yang baik dan pertanggungjawaban dengan alat-alat bukti yang diperlukan; semuanya itu harus dinyatakan dengan pengakuan tertulis dari pihak yang kepadanya harus dilakukan perhitungan itu, yang diberikan sekurang- kurangnya sepuluh hari sebelum persetujuan."
414,Pasal 413,"Perhitungan penutup yang harus diadakan oleh wali, tanpa ditagih pun harus memberikan bunga sejak hari perhitungan ditutup. Segala bunga dari apa yang masih menjadi utang anak belum dewasa terhadap walinya tidak akan berjalan, kecuali sejak hari teguran pelaksanaan pembayaran, setelah perhitungan dan pertanggungjawaban ditutup."
415,Pasal 414,"Segala tuntutan anak belum dewasa terhadap walinya berkenaan dengan tindakan-tindakan perwalian, gugur karena lewat waktu setelah lewat sepuluh tahun, terhitung sejak anak menjadi dewasa."
416,Pasal 416,Instruksi untuk semua Balai Harta Peninggalan ditentukan oleh pemerintah. setelah mendengar Mahkamah Agung. Instruksi ini mengatur susunan dan peraturan dalam tiap-tiap Balai Harta Peninggalan sesuai dengan ketentuan-ketentuan dalam perundang-undangan baru.
417,Pasal 416a,"Dalam daerah hukum setiap Pengadilan Negeri, ada sebuah dewan perwalian, yang ditugaskan melakukan segala usaha pemeliharaan, kecuali campur tangan yang dengan tegas disebutkan dalam kitab undang-undang ini dan peraturan-peraturan pemerintah lainnya, bagi anak belum dewasa yang dipercayakan kepadanya dengan putusan Hakim menurut Pasal 214, Pasal 319f alinea kelima, atau Pasal 382 alinea ketiga seperti juga bagi anak-anak diserahkan kepadanya oleh Kejaksaan menurut Pasal 319i atau Pasal 382a."
418,Pasal 416b,"Tanpa mengurangi ketentuan alinea berikut, dewan perwalian terdiri dari Balai Harta Peninggalan setempat, dengan jumlah anggota yang ditentukan oleh pemerintah."
419,Pasal 417,"Setiap Balai Harta Peninggalan dan dewan perwalian boleh mewakilkan atau menguasakan dirinya kepada salah seorang anggota atau pegawainya, atau kepada seorang agennya dalam hal bila mereka selaku majelis harus menunaikan tugas di luar gedung rapat mereka."
420,Pasal 418,"Balai Harta Peninggalan dan dewan perwalian tidak bisa dikesampingkan dari segala campur tangan, yang diperintahkan kepada mereka menurut ketentuan undang-undang. Segala perbuatan dan perjanjian yang bertentangan dengan ketentuan di atas adalah batal dan tidak berharga."
421,Pasal 418a,"Kepala Daerah dan Pegawai Catatan Sipil wajib sedapat mungkin memberikan keterangan- keterangan dengan cuma-cuma kepada Balai Harta Peninggalan dan dewan perwalian, dan dengan cuma-cuma pula memberikan semua salinan dan petikan dari daftar-daftar yang diminta oleh majelis tersebut untuk kepentingan tugas yang harus mereka lakukan; salinan dan petikan yang diberikan itu bebas dari meterai."
422,Pasal 420,"Pendewasaan yang menjadikan orang yang masih di bawah umur menjadi dewasa, diperoleh dengan venia aetatis atau surat-surat pernyataan dewasa yang diberikan oleh pemerintah setelah mempertimbangkan nasihat Mahkamah Agung."
423,Pasal 421,"Permohonan akan surat pernyataan dewasa boleh diajukan kepada pemerintah oleh anak yang di bawah umur, bila ia telah mencapai umur dua puluh tahun penuh. Pada surat permohonan itu harus dilampirkan akta kelahiran, atau bila itu tidak dapat diberikan, tanda bukti lain yang sah tentang umur yang diisyaratkan itu."
424,Pasal 422,"Mahkamah Agung tidak memberi nasihat sebelum mendengar atau memanggil secukupnya kedua orang tua anak yang di bawah umur itu atau orang tuanya yang masih hidup, dan bila"
425,Pasal 423,"Alinea keempat Pasal 206 berlaku terhadap pemeriksaan termaksud dalam pasal yang lampau mengenai para orang tua, wali dan wali pengawas yang bertempat tinggal atau berdiam di luar kabupaten tempat Mahkamah Agung berkedudukan, Pegawai yang ditugaskan melakukan pemeriksaan itu, harus memberikan penjelasan apa saja yang dianggapnya perlu pada waktu mengirimkan berita acaranya. Berita acara itu dengan penjelasannya harus dilampirkan pada nasihat yang harus disampaikan oleh Mahkamah Agung kepada pemerintah."
426,Pasal 424,"Anak yang telah dinyatakan dewasa, dalam segala hal sama dengan orang dewasa. Akan tetapi mengenai pelaksanaan perkawinan, dia tetap wajib dari para orang tuanya atau dari kakek neneknya. atau dari Pengadilan Negeri menurut ketentuan-ketentuan Pasal 35 dan 37, sampai ia mencapai umur dua puluh satu tahun penuh, sedangkan terhadap anak-anak luar kawin yang telah diakui, Pasal 39 alinea pertama tetap berlaku sampai mereka mencapai umur dua puluh satu tahun penuh."
427,Pasal 425,"Untuk kepentingan anak yang masih di bawah umur itu, pemerintah bebas untuk menambahkan pada surat pernyataan dewasa, dia tidak diperbolehkan, sampai dia mencapai umur dua puluh satu tahun penuh, untuk memindahtangankan atau membebani harta tak bergeraknya selain dengan persetujuan Pengadilan Negeri di tempat tinggalnya yang diberikan setelah mendengar atau memanggil secukupnya kedua orang tuanya, atau salah Seorang yang masih hidup dari mereka, atau bila keduanya sudah tidak ada, keluarga-keluarga sedarah atau semenda."
428,Pasal 426,"Pendewasaan, yang memberikan hak-hak tertentu sebagai orang dewasa kepada anak yang di bawah umur, boleh diberikan oleh Pengadilan Negeri kepada anak yang di bawah umur atas permohonannya, bila ia telah mencapai umur delapan belas tahun penuh. Hal itu tidak diberikan bila bertentangan dengan kemauan salah seorang orang tuanya yang melakukan kekuasaan orang tua atau perwalian."
429,Pasal 427,"Pengadilan Negeri tidak mengambil keputusan sebelum mendengar atau memanggil dengan sah kedua orang tuanya. bila anak yang di bawah umur itu ada dalam kekuasaan orang tuanya, atau bila ia ada dalam perwalian, mendengar atau memanggil dengan sah walinya, wali pengawasnya, keluarga sedarah atau semenda, serta kedua orang tuanya atau orang tua yang masih hidup bila yang melakukan perwalian atas orang yang di bawah umur itu bukan orang tuanya."
430,Pasal 428,"Pada waktu memberikan pendewasaan, Pengadilan Negeri harus menentukan dengan tegas, hak-hak kedewasaan manakah yang diberikan kepada anak yang di bawah umur itu."
431,Pasal 429,"Anak yang di bawah umur yang telah mendapat pendewasaan demikian itu, dianggap sebagai orang dewasa hanya dalam hal perbuatan-perbuatan dan tindakan-tindakan yang dengan tegas diperintahkan kepadanya, dan Ia tidak boleh mengingkari keabsahannya atas dasar kebelumdewasaan. Untuk hal-hal lainnya dia tetap dalam kedudukan belum dewasa."
432,Pasal 430,"Wewenang dan hak-hak yang diberikan kepada anak yang belum dewasa menurut Pasal 426,427 dan 428, tidak boleh lebih daripada wewenang dan hak untuk menerima seluruh atau sebagian pendapatannya. mengeluarkan dan menggunakan pendapatannya itu, mengadakan persewaan, menggarap tanah-tanahnya, dan melakukan usaha-usaha yang perlu untuk itu, melakukan suatu pekerjaan tangan, mendirikan suatu pabrik atau ikut berusaha dalam itu, dan akhirnya menjalankan mata pencaharian dan perdagangan."
433,Pasal 431,"Pendewasaan tersebut dalam lima pasal yang lampau, oleh Pengadilan Negeri boleh ditarik kembali, bila anak yang di bawah umur itu menyalahgunakannya atau bila ada cukup kekhawatiran, bahwa dia akan menyalahgunakannya Penarikan kembali dilakukan atas permohonan bapaknya. bila kedua orang tuanya masih hidup, atau atas permohonan ibunya, bila kekuasaan orang tua dilakukan olehnya, atau atas permohonan wali atau wali pengawas, bila orang yang di bawah umur itu berada dalam perwalian."
434,Pasal 432,"Semua pendewasaan tersebut dalam bab ini, demikian pula pencabutannya menurut pasal- pasal yang Iampau, harus diumumkan dengan cara membuat maklumat dan memasangnya dalam berita negara."
435,Pasal 434,"Setiap keluarga sedarah berhak minta pengampuan keluarga sedarahnya berdasarkan keadaan dungu, gila atau mata gelap. Disebabkan karena pemborosan, pengampuan hanya dapat diminta oleh para keluarga sedarah dalam garis lurus, dan oleh mereka dalam garis samping sampai derajat keempat. Barang siapa karena lemah akal pikirannya, merasa tidak cakap mengurus kepentingan sendiri dengan baik, dapat minta pengampuan bagi dirinya sendiri."
436,Pasal 435,"Bila seseorang yang dalam keadaan mata gelap tidak dimintakan pengampuan oleh orang- orang tersebut dalam pasal yang lalu, maka jawatan Kejaksaan wajib memintanya."
437,Pasal 436,Semua permintaan untuk pengampuan harus diajukan kepada Pengadilan Negeri yang dalam daerah hukumnya tempat berdiam orang yang dimintakan pengampuan.
438,Pasal 437,"Peristiwa-peristiwa yang menunjukkan keadaan dungu, gila, mata gelap atau keborosan, harus dengan jelas disebutkan dalam surat permintaan. dengan bukti-bukti dan penyebutan saksi- saksinya."
439,Pasal 438,
440,Pasal 439,"Pangadilan Negeri setelah mendengar atau memanggil dengan sah orang-orang tersebut dalam pasal yang lalu, harus mendengar pula orang yang dimintakan pengampuan, bila orang itu tidak mampu untuk datang, maka pemeriksaan harus dilangsungkan di rumahnya oleh seorang atau beberapa orang Hakim yang diangkat untuk itu, disertai oleh panitera, dan dalam segala hal dihadiri oleh jawatan Kejaksaan."
441,Pasal 440,"Bila Pengadilan Negeri, setelah mendengar atau memanggil dengan sah keluarga sedarah atau semenda, dan setelah mendengar pula orang yang dimintakan pengampuan, berpendapat bahwa telah cukup keterangan yang diperoleh, maka Pengadilan dapat memberi keputusan tentang surat permintaan itu tanpa tata cara lebih lanjut, dalam hal yang sebaliknya, Pengadilan Negeri harus memerintahkan pemeriksaan saksi-saksi agar peristiwa-peristiwa yang dikemukakannya menjadi jelas."
442,Pasal 441,"Setelah mengadakan pemeriksaan tersebut dalam Pasal 439, bila ada alasan, Pengadilan Negeri dapat mengangkat seorang pengurus sementara untuk mengurus pribadi dan barang-barang orang yang dimintakan pengampuannya."
443,Pasal 442,"Putusan atas suatu permintaan akan pengampuan harus diucapkan dalam sidang terbuka, setelah mendengar atau memanggil dengan sah semua pihak dan berdasarkan kesimpulan Jaksa."
444,Pasal 443,"Bila dimohonkan banding, maka Hakim banding sekiranya ada alasan,. dapat mendengar lagi atau menyuruh mendengar lagi orang yang dimintakan pengampuan."
445,Pasal 444,"Semua penetapan dan putusan yang memerintahkan pengampuan, dalam waktu yang ditetapkan dalam penetapan atau keputusan ini, harus diberitahukan oleh pihak yang memintakan pengampuan kepada pihak lawannya dan diumumkan dengan menempatkan dalam Berita Negara; semuanya atas ancaman hukuman membayar segala biaya, kerugian dan bunga sekiranya ada alasan untuk itu."
446,Pasal 445,"Bila pengampuan diminta sehubungan dengan alinea keempat Pasal 434, Pengadilan Negeri mendengar para keluarga sedarah atau semenda dan, sendiri atau dengan wakilnya,, suami atau isterinya yang meminta, sekiranya ini berada di Indonesia; juga harus dilakukan ketentuan- ketentuan dalam Pasal 439 alinea kesatu dan kedua, 440,441 dan 442. Dalam hal demikian jawatan Kejaksaan harus menyelenggarakan pengumuman mengenai keputusan dengan cara yang dicantumkan dalam Pasal 444."
447,Pasal 446,"Pengampuan mulai berjalan, terhitung sejak putusan atau penetapan diucapkan. Semua tindak perdata yang setelah itu dilakukan oleh orang yang ditempatkan di bawah pengampuan, adalah batal demi hukum. Namun demikian, seseorang yang ditempatkan di bawah pengampuan karena keborosan, tetap berhak membuat surat-surat wasiat."
448,Pasal 447,"Semua tindak perdata yang terjadi sebelum perintah pengampuan diucapkan berdasarkan keadaan dungu, gila dan mata gelap, boleh dibatalkan, bila dasar pengampuan ini telah ada pada saat tindakan-tindakan itu dilakukan."
449,Pasal 448,"Setelah seseorang meninggal dunia, maka segala tindak perdata yang telah dilakukannya, kecuali pembuatan surat-surat wasiat berdasarkan keadaan dungu, gila dan mata gelap, tidak dapat disanggah, selain bila pengampuan atas dirinya telah diperintahkan atau dimintakan sebelum ia meninggal dunia, kecuali bila bukti-bukti tentang penyakit itu tersimpul dari perbuatan yang disanggah itu."
450,Pasal 449,"Bila keputusan tentang pengampuan telah mendapatkan kekuatan hukum yang pasti, maka oleh Pengadilan Negeri diangkat seorang pengampu. Pengangkatan itu segera diberitahukan kepada Balai Harta Peninggalan. Pengampuan pengawas diperintahkan kepada Balai Harta Peninggalan. Dalam hal yang demikian, berakhirlah segala campur tangan pengurus sementara, yang wajib mengadakan perhitungan dan pertanggungjawaban atas pengurusannya kepada pengampu, bila Ia sendiri yang diangkat menjadi pengampu, maka perhitungan dan pertanggungjawaban itu harus dilakukan kepada pengampu pengawas."
451,Pasal 450,"Dihapus dengan S. 1927 - 31 jis. 390,421."
452,Pasal 451,"Kecuali jika ada alasan-alasan penting menghendaki pengangkatan orang lain menjadi pengampu, suami atau isteri harus diangkat menjadi pengampu bagi isteri atau suaminya, tanpa mewajibkan isteri mendapatkan persetujuan atau kuasa apa pun juga untuk menerima pengangkatan itu."
453,"Pasal 452 Orang yang ditempatkan di bawah pengampuan berkedudukan sama dengan anak yang belum dewasa. Bila seseorang yang karena keborosan ditempatkan di bawah pengampuan hendak melangsungkan perkawinan, maka ketentuan-ketentuan Pasal 38 dan 151 berlaku terhadapnya. Ketentuan undang-undang tentang perwalian atas anak belum dewasa, yang tercantum dalam pasal 331 sampai dengan 344, Pasal-pasal 362, 367, 369 sampai dengan 388, 391 dan berikutnya dalam Bagian 11, 12 dan 13 Bab XV, berlaku juga terhadap pengampuan. Pasal 453 Bila seseorang ditempatkan di bawah pengampuan mempunyai anak-anak belum dewasa serta menjalankan kekuasaan orang tua, sedangkan isteri atau suaminya telah dibebaskan atau diberhentikan dari kekuasaan orang tua, atau berdasarkan Pasal 246 tidak diperintahkan menjalankan kekuasaan orang tua, atau tidak memungkinkan untuk menjalankan kekuasaan orang tua, seperti juga jika orang yang di bawah pengampuan itu menjadi wali atas anak- anaknya yang sah, maka demi hukum pengampu adalah wali atas anak-anak belum dewasa itu sampai pengampuannya dihentikan, atau sampai isteri atau suaminya memperoleh perwalian itu karena penetapan Hakim yang dimaksudkan dalam Pasal 206 dan 230, atau mendapatkan kekuasaan orang tua berdasarkan Pasal 246a, atau dipulihkan dalam kekuasaan orang tua atau perwalian. Pasal 454","Penghasilan orang yang ditempat di bawah pengampuan karena keadaan dungu. gila atau mata gelap, harus digunakan khusus untuk memperbaiki nasibnya dan memperlancar penyembuhan."
454,"Pasal 455 Dicabut dengan S. 1897 - 53. Pasal 456 Terhadap orang-orang yang tidak dapat dibiarkan mengurus diri sendiri atau membahayakan keamanan orang lain karena kelakuannya terlanjur buruk dan terus menerus buruk, harus dilakukan tindakan seperti diatur dalam Reglemen Susunan Kehakiman dan Kebijaksanaan Mengadili di Indonesia. Pasal 457 Dalam hal adanya kepentingan yang mendesak para kepala daerah setempat, menjelang pengesahan Pengadilan Negeri, berkuasa memerintahkan penahanan sementara orang-orang yang dimaksud dalam Pasal-pasal yang lalu. Mereka wajib untuk bertindak secara cermat; dan selambat-lambatnya dalam empat hari atau, dalam hal tempat kedudukan Pengadilan Negeri yang bersangkutan ada di pulau lain, dengan kapal yang pertama, mereka harus mengirimkan surat-surat tentang penahanan kepada Kejaksaan yang berwenang & yang harus menyampaikan lagi surat-surat itu dengan tuntutannya kepada Pengadilan Negeri segera setelah menerima surat-surat itu. Bila Pengadilan Negeri tidak menemukan alasan-alasan guna menguatkan penahanan, maka dengan putusan harus diperintahkan supaya orang yang ditahan itu segera dikeluarkan dari tahanan. Putusan ini harus segera dilaksanakan oleh kepala daerah yang bersangkutan segera",
455,Pasal 458,"Seorang anak belum dewasa yang ada di bawah pengampuan tidak dapat melakukan perkawinan, pula tidak dapat mengadakan perjanjian-perjanjian selain dengan memperhatikan ketentuan-ketentuan pada Pasal 38 dan 151."
456,Pasal 459,"Tiada seorang pun, kecuali suami isteri dan keluarga sedarah dalam garis ke atas atau ke bawah, wajib menjalankan suatu pengampuan lebih dari delapan tahun lamanya setelah waktu itu lewat, pengampu boleh minta dibebaskan dan permintaan ini harus dikabulkan."
457,Pasal 460,"Pengampuan berakhir bila sebab-sebab yang mengakibatkannya telah hilang; tetapi pembebasan dari pengampuan itu tidak akan diberikan, selain dengan memperhatikan tata cara yang ditentukan oleh undang-undang guna memperoleh pengampuan, dan karena itu orang yang ditempatkan di bawah pengampuan tidak boleh menikmati kembali hak-haknya sebelum keputusan tentang pembebasan pengampuan itu memperoleh kekuatan hukum yang pasti."
458,Pasal 461,Pembebasan diri pengampuan harus diumumkan dengan cara yang diatur dalam Pasal 444.
459,Pasal 462,"Seorang anak belum dewasa yang berada dalam keadaan dungu, gila atau gelap mata, tidak boleh ditempatkan di bawah pengampuan, tetapi tetap berada di bawah pengawasan bapaknya, ibunya atau walinya."
460,Pasal 464,"Balai Harta Peninggalan berkewajiban, jika perlu setelah penyegelan, untuk membuat daftar lengkap harta kekayaan yang pengelolaannya dipercayakan kepadanya. Untuk selanjutnya Balai Harta Peninggalan harus mengindahkan peraturan-peraturan mengenai pengelolaan harta kekayaan anak-anak yang masih di bawah umur, sejauh peraturan-peraturan itu dapat diterapkan pada pengelolaannya, kecuali bila Pengadilan Negeri menentukan lain mengenai hal-hal tersebut."
461,Pasal 465,"Balai Harta Peninggalan berkewajiban untuk memberikan perhitungan dan pertanggungjawaban secara singkat dan memperlihatkan efek-efek dan surat-surat yang berhubungan dengan pengelolaan itu kepada jawatan Kejaksaan pada Pengadilan Negeri yang telah mengangkatnya. Perhitungan ini dapat dibuat di atas kertas yang tidak bermeterai dan disampaikan tanpa tata cara peradilan. Terhadap perhitungan dan pertanggungjawaban ini jawatan Kejaksaan boleh mengajukan usul-usul kepada Pengadilan Negeri, sejauh hal itu dianggapnya perlu untuk kepentingan orang yang dalam keadaan tidak hadir itu."
462,Pasal 466,Dihapus dengan S. 1928 - 210.
463,Pasal 468,"Bila atas panggilan tidak datang menghadap, baik orang yang dalam keadaan tak hadir maupun orang lain yang cukup menjadi petunjuk tentang adanya orang itu, maka Pengadilan Negeri atas tuntutan jawatan Kejaksaan dan setelah mendengar jawatan itu, boleh menyatakan adanya dugaan hukum bahwa orang itu telah meninggal, terhitung sejak hari ia meninggalkan tempat tinggalnya. atau sejak hari berita terakhir mengenai hidupnya, yang harinya secara pasti harus dinyatakan dalam keputusan itu."
464,Pasal 469,"Sebelum mengambil keputusan atas tuntutan itu, jika perlu setelah mengadakan pemeriksaan saksi-saksi yang diperintahkan untuk itu, dengan kehadiran jawatan Kejaksaan, Pengadilan Negeri harus memperhatikan sebab-sebab terjadinya ketidakhadiran itu, sebab-sebab yang mungkin telah menghalangi penerimaan kabar dari orang yang dalam keadaan tak hadir itu, dan hal-hal lain yang berhubungan dengan dugaan tentang kematian."
465,Pasal 470,"Bila seseorang pada waktu meninggalkan tempat tinggalnya telah memberikan kuasa untuk mewakilinya dalam urusan-urusannya, atau telah mengatur pengelolaannya, dan bila telah lampau sepuluh tahun sesudah keberangkatannya atau setelah berita terakhir bahwa ia masih hidup, sedangkan dalam sepuluh tahun itu tidak ada tanda-tanda apakah ia masih hidup atau telah mati, maka atas permohonan orang-orang yang kepentingan, orang yang dalam keadaan tidak hadir itu boleh dipanggil, dan boleh dinyatakan bahwa ada dugaan hukum tentang kematiannya, dengan cara dan menurut peraturan-peraturan yang tercantum dalam tiga pasal"
466,Pasal 471,Pernyataan mengenai dugaan tentang kematian harus diumumkan dengan menggunakan surat kabar yang telah digunakan dalam pemanggilan-pemanggilan.
467,Pasal 473,"Bila tidak diberikan jaminan tersebut dalam pasal yang lalu, barang-barang itu harus ditaruh di bawah pengelolaan pihak ketiga, dan mengenai barang-barang bergerak harus diperintahkan penjualannya, dengan mengindahkan peraturan-peraturan yang terdapat dalam Pasal 786 dan 787 Kitab Undang-undang ini."
468,Pasal 474,"Para ahli waris dugaan, berkenaan dengan hal menikmati harta peninggalan orang yang dalam keadaan tak hadir, mempunyai hak-hak dan kewajiban-kewajiban yang sama, seperti yang diatur untuk para pemegang hak pakai hasil, sejauh ketentuan-ketentuan yang ditetapkan untuk hal itu berlaku, dan tentang hal itu tidak ada peraturan lain."
469,Pasal 475,"Atas dasar yang sama seperti yang ditentukan dalam tiga pasal yang lalu tentang para ahli waris dugaan dari orang yang dalam keadaan tak hadir, orang-orang yang mendapat hibah wasiat, dan orang-orang lain yang sedianya mempunyai suatu hak atas harta peninggalan orang yang dalam keadaan tak hadir itu bila dia meninggal, boleh segera melakukan hak mereka."
470,Pasal 476,"Mereka yang menguasai atau mengelola barang-barang dari orang yang dalam keadaan tak hadir, masing-masing sejauh mengenai dirinya, berkewajiban untuk memberi perhitungan dan pertanggungjawaban dan untuk menyerahkan barang-barang itu kepada orang yang dalam keadaan tak hadir bila ia pulang, atau kepada para ahli waris atau para pemegang hak lainnya, sekiranya mereka datang, dan menunjukkan hak mereka yang lebih kuat."
471,Pasal 477,"Semua ahli waris dugaan itu, segera setelah mengambil barang-barang ke dalam penguasaannya, berkewajiban untuk membuat daftar lengkap barang-barang yang ditinggalkan orang yang dalam keadaan tak hadir itu. Kepada mereka diberikan hak istimewa akan pendaftaran harta peninggalan. Bila tidak diadakan pendaftaran harta peninggalan demikian, seperti juga dalam hal-hal yang diatur dalam Pasal 1031, mereka kehilangan hak istimewa tersebut di atas, tanpa mengurangi kewajiban-kewajiban tersebut dalam pasal yang lalu."
